genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
leicester indie,0.018856473333333332,0.42966666666666653,105597.5,0.9159999999999999,0.6351705166666667,0.1474,-7.904666666666666,0.06595,128.49616666666665,0.25366666666666665,34.166666666666664,1,1
levenslied,0.0116,0.743,156897.0,0.8440000000000001,7.84e-06,0.0599,-5.54,0.149,127.98899999999999,0.833,0.0,8,1
lexington ky indie,0.00055,0.386,273653.0,0.941,0.0,0.14,-2.168,0.0515,90.913,0.483,48.0,6,1
lgbtq+ hip hop,0.1694567220113592,0.7032177566635155,232898.90080216763,0.6451886469795015,0.035200158426768234,0.17997518162387954,-7.316977302891685,0.1899495778779797,121.4632228984427,0.5033192792518757,51.662936181229114,7,0
library music,0.6909562026089849,0.446166253518738,152325.3357913768,0.3388937188457582,0.5938736455603878,0.13303571167062364,-15.295332856814225,0.052201999262527214,114.9917765477716,0.4880149872683105,22.882772294418253,0,1
libyan pop,0.7709999999999999,0.6609999999999999,278375.0,0.41600000000000004,6.25e-06,0.129,-10.337,0.0324,106.21700000000001,0.66,37.0,6,0
liechtenstein,0.975,0.146,340893.0,0.16,0.888,0.0844,-20.191,0.0398,81.19,0.0602,36.0,9,1
liedermacher,0.29819123333333336,0.4721666666666667,259628.66666666663,0.5836666666666667,0.06185,0.423,-10.4815,0.04431666666666666,122.35916666666668,0.478,36.833333333333336,11,1
light music,0.8792998488284203,0.2987336356764929,270616.440287226,0.2471457671957672,0.41211451341647776,0.2257863756613757,-15.92979074074074,0.042557142857142856,114.22592675736958,0.29573892668178386,15.68208616780045,7,1
lilith,0.3878358629145604,0.5581122733231612,236117.1180284425,0.5171827604471221,0.0503879390951092,0.16948093903405406,-9.964809912752466,0.05194485202629113,120.96919232078626,0.4488226178764109,41.58925193057016,9,1
liquid funk,0.0842541,0.5512678571428572,296266.325,0.7383785714285713,0.3837487617857142,0.28537357142857145,-8.327917857142857,0.10226142857142853,135.28010000000003,0.4773607142857143,22.442857142857147,11,1
lithuanian electronic,0.0038,0.768,352670.0,0.64,0.486,0.075,-8.095,0.0508,116.00200000000001,0.22,17.0,1,1
lithuanian folk,0.973,0.33899999999999997,193773.0,0.121,0.0,0.63,-15.457,0.0311,105.446,0.16399999999999998,0.0,9,1
liverpool indie,0.4440748622222221,0.45941111111111105,308935.8777777778,0.5001555555555556,0.05075324466666668,0.21897333333333335,-9.339777777777778,0.05685111111111111,122.91762222222219,0.5342777777777777,9.366666666666667,6,1
livetronica,0.1814201818181818,0.5790202020202021,339723.803030303,0.6305959595959596,0.5763465656565656,0.20001414141414145,-8.02321212121212,0.0559010101010101,122.37426262626262,0.4168,48.131313131313114,7,1
lldm,0.9420000000000001,0.584,146800.0,0.0857,0.0,0.14400000000000002,-23.725,0.0441,93.51700000000001,0.475,56.0,3,1
lo-fi,0.3104221784029262,0.4935006510699173,243853.62775592023,0.6102864968712,0.3068690472422748,0.17311702974501902,-9.989436238901783,0.05543386463058488,123.01286134177084,0.4952939653091946,38.29927529721299,7,1
lo-fi beats,0.5831984260634919,0.6660304888888892,175770.8097777778,0.35337658412698403,0.6277725702057146,0.14806785396825406,-12.985031771428568,0.10218937142857146,105.0709939555556,0.4066898920634922,39.416279365079376,7,1
